Vehicle Type,Pickup Location,Drop Location,Avg VTAT,alvo,hora,dia_semana,mes,periodo_dia,sem_vtat
Go Mini,Sikanderpur,Pataudi Chowk,3.2,0,16,1,6,tarde,0
Go Mini,Seelampur,Akshardham,6.3,0,9,3,11,manha,0
eBike,Kashmere Gate,Lal Quila,8.3,0,23,6,8,madrugada,1
Auto,Cyber Hub,Bhikaji Cama Place,10.5,1,20,4,10,noite,0
eBike,Paschim Vihar,Noida Extension,6.2,1,19,4,10,noite,0
Go Sedan,Sohna Road,Udyog Vihar,7.2,1,15,2,6,tarde,0
Auto,IIT Delhi,Old Gurgaon,2.5,1,11,6,6,manha,0
Premier Sedan,Ramesh Nagar,Udyog Vihar,2.6,1,21,0,10,noite,0
Go Sedan,Huda City Centre,Botanical Garden,2.7,0,15,5,8,tarde,0
Go Sedan,Anand Vihar ISBT,Moti Nagar,4.6,0,23,6,7,madrugada,0
Go Mini,Pulbangash,IFFCO Chowk,12.4,1,12,6,5,tarde,0
Uber XL,IIT Delhi,Manesar,8.3,0,9,1,6,manha,1
Auto,Hero Honda Chowk,IMT Manesar,4.8,1,18,4,11,noite,0
Auto,Cyber Hub,Rajouri Garden,5.5,1,9,1,12,manha,0
Go Mini,Sonipat,Chandni Chowk,11.6,1,7,1,3,manha,0
Bike,Mansarovar Park,Dilshad Garden,13.8,1,8,4,8,manha,0
eBike,Ghitorni Village,Saket A Block,6.6,0,17,2,1,tarde,0
Auto,Jahangirpuri,MG Road,5.1,0,7,6,12,manha,0
Go Mini,Vatika Chowk,Vishwavidyalaya,3.7,1,7,2,10,manha,0
Go Mini,Uttam Nagar,Manesar,6.7,1,16,6,5,tarde,0
Go Mini,INA Market,Sonipat,14.2,1,14,2,9,tarde,0
Go Sedan,Karkarduma,Govindpuri,13.6,1,12,4,9,tarde,0
Go Mini,Subhash Nagar,Uttam Nagar,5.8,0,11,0,8,manha,0
Auto,India Gate,Delhi Gate,11.3,1,9,1,8,manha,0
Auto,Narsinghpur,Ghitorni Village,18.0,0,22,2,5,noite,0
eBike,Sarojini Nagar,RK Puram,16.5,0,14,0,1,tarde,0
Go Sedan,Yamuna Bank,Satguru Ram Singh Marg,9.5,0,1,4,8,madrugada,0
Auto,Nehru Place,Janakpuri,14.2,1,20,6,9,noite,0
Bike,Qutub Minar,Rithala,13.5,1,17,6,6,tarde,0
Auto,Shivaji Park,Manesar,11.6,1,6,6,12,manha,0
Go Sedan,Punjabi Bagh,Udyog Vihar Phase 4,13.4,1,20,0,1,noite,0
Auto,Saket,Raj Nagar Extension,9.2,1,10,5,2,manha,0
Premier Sedan,Nirman Vihar,Lok Kalyan Marg,10.8,1,18,2,10,noite,0
Auto,Kaushambi,Pragati Maidan,8.5,1,20,6,11,noite,0
Go Mini,Vidhan Sabha,Govindpuri,10.0,1,19,4,2,noite,0
Go Mini,Green Park,Kashmere Gate,4.4,1,13,5,3,tarde,0
Auto,Shivaji Park,Satguru Ram Singh Marg,5.1,0,15,2,5,tarde,0
Auto,Rohini,Udyog Bhawan,2.1,1,12,4,5,tarde,0
eBike,Sikanderpur,Hero Honda Chowk,12.1,1,21,4,3,noite,0
Bike,Lajpat Nagar,South Extension,5.5,0,21,2,10,noite,0
Go Mini,Chhatarpur,Kalkaji,7.4,1,15,3,9,tarde,0
Auto,Dilshad Garden,Sohna Road,14.7,0,9,4,6,manha,0
Bike,Bhiwadi,Samaypur Badli,4.9,1,22,6,7,noite,0
eBike,Vasant Kunj,Subhash Nagar,11.9,1,6,4,5,manha,0
Go Mini,Moolchand,Cyber Hub,14.9,1,0,5,7,madrugada,0
Go Sedan,Badshahpur,Connaught Place,7.1,0,20,2,1,noite,0
Auto,India Gate,Chhatarpur,6.4,1,14,6,3,tarde,0
Auto,Central Secretariat,Bhiwadi,4.0,0,6,4,1,manha,0
Bike,Central Secretariat,Mandi House,14.7,1,6,6,2,manha,0
eBike,Anand Vihar,Green Park,10.1,1,14,3,8,tarde,0
Auto,Saket A Block,Noida Extension,10.1,1,22,3,3,noite,0
Auto,Sikanderpur,Tis Hazari,3.5,0,11,3,10,manha,0
eBike,New Colony,Noida Extension,13.9,1,17,6,8,tarde,0
eBike,Kashmere Gate,Green Park,3.6,1,19,2,6,noite,0
Go Mini,Karol Bagh,Nirman Vihar,8.3,0,13,6,6,tarde,1
Go Sedan,Kashmere Gate,Vatika Chowk,5.0,0,23,4,8,madrugada,0
Go Mini,Rohini,Samaypur Badli,2.4,1,21,5,10,noite,0
Auto,Badarpur,Kirti Nagar,11.7,1,14,6,12,tarde,0
Auto,Govindpuri,Ramesh Nagar,8.3,0,20,1,5,noite,1
eBike,Ghitorni,Sarojini Nagar,13.2,1,10,1,5,manha,0
Go Mini,MG Road,Lajpat Nagar,9.2,1,13,4,1,tarde,0
Bike,Ashram,Green Park,14.6,1,12,6,3,tarde,0
Auto,Saidulajab,Paharganj,10.1,0,18,4,5,noite,0
Bike,Golf Course Road,Jama Masjid,7.7,0,9,4,9,manha,0
Bike,Nehru Place,AIIMS,13.6,1,7,0,1,manha,0
Go Sedan,RK Puram,Greater Kailash,8.3,0,16,6,6,tarde,1
Auto,IMT Manesar,Ramesh Nagar,9.7,1,16,6,12,tarde,0
Premier Sedan,Cyber Hub,Gurgaon Sector 56,3.3,1,2,1,9,madrugada,0
Premier Sedan,Ardee City,Kaushambi,4.8,1,18,4,5,noite,0
Go Mini,IMT Manesar,Shastri Nagar,13.0,1,18,0,11,noite,0
Go Sedan,Kirti Nagar,Hauz Khas,7.7,0,13,2,5,tarde,0
Go Mini,Jhilmil,Chhatarpur,9.0,1,10,5,2,manha,0
Bike,Tilak Nagar,Sohna Road,12.5,1,9,5,7,manha,0
Go Mini,Rajiv Chowk,Bahadurgarh,4.1,0,13,0,4,tarde,0
Go Mini,Mayur Vihar,Rohini West,5.0,1,19,5,9,noite,0
Auto,Pulbangash,Noida Film City,8.3,0,17,4,5,tarde,1
Premier Sedan,Hero Honda Chowk,Sultanpur,6.6,1,19,5,3,noite,0
Go Sedan,Satguru Ram Singh Marg,Preet Vihar,12.9,1,10,3,6,manha,0
Auto,Tilak Nagar,MG Road,3.7,1,21,5,3,noite,0
Go Mini,India Gate,Samaypur Badli,8.0,1,18,6,6,noite,0
Auto,Model Town,New Colony,9.5,0,18,6,11,noite,0
Premier Sedan,IIT Delhi,Connaught Place,10.1,1,15,1,12,tarde,0
Go Mini,Sarojini Nagar,Samaypur Badli,14.2,1,7,5,9,manha,0
Go Sedan,Delhi Gate,Noida Film City,6.6,0,8,6,2,manha,0
eBike,Lajpat Nagar,Peeragarhi,7.1,0,11,0,6,manha,0
Premier Sedan,Hauz Rani,Shahdara,13.1,0,18,6,12,noite,0
Go Sedan,Nehru Place,Samaypur Badli,4.2,0,17,6,3,tarde,0
Go Sedan,Connaught Place,Hero Honda Chowk,3.0,1,7,3,9,manha,0
Bike,Dwarka Mor,Udyog Vihar,3.0,1,21,3,6,noite,0
Go Sedan,Anand Vihar,Connaught Place,4.3,1,23,4,1,madrugada,0
Premier Sedan,Okhla,Seelampur,8.4,0,8,0,5,manha,0
Auto,Moti Nagar,Sonipat,4.5,1,14,1,3,tarde,0
Auto,Anand Vihar ISBT,Ramesh Nagar,4.0,0,9,3,11,manha,0
Go Mini,INA Market,Meerut,9.4,1,17,1,7,tarde,0
Bike,Rohini West,Sohna Road,5.0,1,17,4,2,tarde,0
Bike,New Delhi Railway Station,Nirman Vihar,3.2,1,10,3,11,manha,0
Go Sedan,Paschim Vihar,Malviya Nagar,2.9,1,23,1,10,madrugada,0
Go Mini,Anand Vihar ISBT,Gurgaon Railway Station,4.8,1,10,6,4,manha,0
Bike,Sonipat,Moti Nagar,12.1,0,19,4,11,noite,0
Premier Sedan,Tilak Nagar,Indraprastha,11.4,0,16,0,2,tarde,0
Bike,Model Town,Kherki Daula Toll,5.6,0,12,4,1,tarde,0
Go Mini,Cyber Hub,Khandsa,10.8,1,17,4,6,tarde,0
Go Sedan,Jama Masjid,Tughlakabad,10.9,1,22,0,8,noite,0
Premier Sedan,Sohna Road,Maidan Garhi,9.2,1,20,4,5,noite,0
Go Sedan,Pitampura,Noida Film City,9.6,0,13,1,7,tarde,0
Go Mini,Subhash Chowk,Moti Nagar,3.9,1,18,0,4,noite,0
Auto,Keshav Puram,IGNOU Road,3.8,1,3,6,10,madrugada,0
Go Mini,Inderlok,Raj Nagar Extension,9.4,1,2,2,9,madrugada,0
Go Sedan,Pulbangash,Ramesh Nagar,7.3,1,18,4,4,noite,0
Auto,Cyber Hub,MG Road,2.9,1,10,2,7,manha,0
eBike,Gurgaon Sector 29,IGNOU Road,8.3,0,23,2,11,madrugada,1
Go Mini,Shivaji Park,Okhla,5.4,1,11,5,8,manha,0
Auto,Pataudi Chowk,Kanhaiya Nagar,10.2,0,6,3,10,manha,0
Bike,Kalkaji,Malviya Nagar,8.3,0,7,6,5,manha,1
Auto,Moolchand,Anand Vihar,12.3,1,0,5,10,madrugada,0
Go Sedan,Hauz Khas,Sadar Bazar Gurgaon,2.8,1,17,5,12,tarde,0
Go Sedan,New Colony,Ashok Park Main,14.6,1,15,3,10,tarde,0
Go Mini,IMT Manesar,Basai Dhankot,11.3,1,17,6,9,tarde,0
Auto,Patel Chowk,Nirman Vihar,2.4,1,18,2,8,noite,0
eBike,Azadpur,Qutub Minar,2.0,1,18,1,10,noite,0
Go Sedan,Indirapuram,Gwal Pahari,9.9,1,9,3,9,manha,0
Go Mini,Hauz Khas,Lok Kalyan Marg,8.3,0,12,4,3,tarde,1
Auto,Jor Bagh,Rohini,8.7,0,22,1,1,noite,0
Go Sedan,Samaypur Badli,Nehru Place,7.7,1,20,1,3,noite,0
Go Sedan,Welcome,Kirti Nagar,9.8,1,18,1,7,noite,0
Auto,Dwarka Sector 21,Adarsh Nagar,3.7,0,20,5,9,noite,0
Go Sedan,Subhash Nagar,Saket,9.4,1,18,4,7,noite,0
Auto,Patel Chowk,Sonipat,11.8,0,12,5,1,tarde,0
Go Sedan,IIT Delhi,Udyog Vihar Phase 4,5.7,0,14,1,10,tarde,0
Go Mini,Munirka,Chandni Chowk,14.7,1,19,4,11,noite,0
Go Mini,Badshahpur,Mansarovar Park,14.9,1,16,0,1,tarde,0
eBike,Pataudi Chowk,ITO,8.1,1,17,5,5,tarde,0
Go Sedan,Tis Hazari,Green Park,4.9,0,22,2,9,noite,0
Bike,Akshardham,Udyog Bhawan,11.6,0,14,1,9,tarde,0
Go Sedan,Udyog Bhawan,Malviya Nagar,10.8,1,8,4,4,manha,0
Auto,Subhash Nagar,Ambience Mall,11.4,0,17,5,9,tarde,0
Auto,Indraprastha,Yamuna Bank,12.4,0,22,4,9,noite,0
Premier Sedan,Ardee City,Punjabi Bagh,6.3,0,21,2,10,noite,0
Go Mini,IGI Airport,Tagore Garden,14.1,1,19,4,6,noite,0
Go Sedan,Noida Extension,Greater Kailash,4.0,1,8,1,11,manha,0
Auto,Saidulajab,Panchsheel Park,6.2,0,20,2,4,noite,0
Auto,Paschim Vihar,New Delhi Railway Station,3.1,1,6,5,10,manha,0
Auto,Satguru Ram Singh Marg,Dwarka Mor,4.5,1,20,3,1,noite,0
Bike,Vatika Chowk,Laxmi Nagar,4.2,1,14,5,6,tarde,0
Premier Sedan,Dilshad Garden,India Gate,5.9,1,17,5,9,tarde,0
Go Mini,Nehru Place,Manesar,13.3,1,7,0,4,manha,0
Go Mini,Mehrauli,Ashram,14.3,1,19,1,4,noite,0
Auto,Rajiv Chowk,Tughlakabad,9.5,1,14,3,11,tarde,0
Go Mini,Nehru Place,Maidan Garhi,10.1,1,15,6,8,tarde,0
Go Sedan,INA Market,Vaishali,10.0,0,19,3,4,noite,0
Go Mini,Moti Nagar,Sadar Bazar Gurgaon,2.3,1,9,1,10,manha,0
Bike,Pragati Maidan,Karol Bagh,6.4,0,16,4,11,tarde,0
Premier Sedan,Mundka,Khandsa,6.7,1,9,6,10,manha,0
Go Mini,Sultanpur,Badarpur,8.1,0,13,6,11,tarde,0
Bike,Vatika Chowk,Subhash Chowk,7.3,0,15,1,11,tarde,0
Go Mini,Mehrauli,Arjangarh,3.4,1,7,5,2,manha,0
eBike,Qutub Minar,Aya Nagar,5.9,1,15,3,12,tarde,0
Premier Sedan,Arjangarh,Rithala,8.3,0,10,0,12,manha,0
Auto,Delhi Gate,Vishwavidyalaya,2.1,1,17,2,3,tarde,0
Premier Sedan,New Colony,Noida Extension,4.4,1,9,1,10,manha,0
Go Sedan,Udyog Vihar,Govindpuri,9.0,0,20,5,5,noite,0
Go Mini,Pragati Maidan,Samaypur Badli,6.3,1,6,0,9,manha,0
Auto,Old Gurgaon,Sikanderpur,10.4,1,21,6,11,noite,0
Go Mini,Shastri Nagar,Badshahpur,8.3,0,16,0,12,tarde,1
Bike,Rithala,Shastri Nagar,2.5,1,17,0,11,tarde,0
Go Sedan,IMT Manesar,Preet Vihar,11.3,1,21,4,2,noite,0
Bike,Aya Nagar,Jhilmil,2.6,1,16,2,10,tarde,0
Auto,Badarpur,Kherki Daula Toll,11.0,0,16,4,9,tarde,0
Go Mini,Arjangarh,Tis Hazari,5.8,1,14,3,12,tarde,0
Auto,Hauz Khas,Karkarduma,3.1,0,18,5,2,noite,0
Go Mini,Maidan Garhi,Preet Vihar,3.9,0,16,0,11,tarde,0
Auto,Kashmere Gate,Greater Noida,5.5,0,20,5,11,noite,0
Auto,Janakpuri,Dilshad Garden,2.8,1,10,2,4,manha,0
Premier Sedan,Mandi House,Kherki Daula Toll,6.8,0,6,0,1,manha,0
Bike,Greater Noida,Qutub Minar,12.7,0,22,4,8,noite,0
Auto,Huda City Centre,Pataudi Chowk,2.7,1,22,1,1,noite,0
Uber XL,Punjabi Bagh,Saket A Block,4.0,0,22,6,1,noite,0
Go Sedan,Netaji Subhash Place,Preet Vihar,8.3,0,10,4,12,manha,1
Bike,Central Secretariat,DLF Phase 3,10.4,0,9,3,9,manha,0
Premier Sedan,Barakhamba Road,Mandi House,6.8,1,8,1,3,manha,0
Go Sedan,Chandni Chowk,New Colony,8.8,0,12,3,8,tarde,0
Go Sedan,Peeragarhi,Noida Sector 18,13.8,1,13,5,10,tarde,0
Premier Sedan,Welcome,Mansarovar Park,7.1,1,11,6,7,manha,0
Bike,Bahadurgarh,Sonipat,13.5,1,2,2,9,madrugada,0
Premier Sedan,Paschim Vihar,Inderlok,8.3,0,20,4,8,noite,1
Premier Sedan,Samaypur Badli,Model Town,7.2,0,13,0,7,tarde,0
Go Mini,Kanhaiya Nagar,Pataudi Chowk,7.7,0,23,3,7,madrugada,0
Bike,Badshahpur,Vishwavidyalaya,6.1,1,8,4,7,manha,0
Go Sedan,Paschim Vihar,Kherki Daula Toll,2.2,1,7,3,10,manha,0
Auto,South Extension,Shahdara,3.4,1,11,1,12,manha,0
Premier Sedan,Rohini East,Saket A Block,9.6,1,9,1,9,manha,0
Auto,Sultanpur,Azadpur,8.3,0,22,1,3,noite,1
Go Mini,India Gate,IMT Manesar,6.9,1,21,2,2,noite,0
Go Sedan,Civil Lines Gurgaon,Manesar,13.8,1,19,6,7,noite,0
Uber XL,Cyber Hub,Civil Lines Gurgaon,9.4,1,21,6,11,noite,0
Go Mini,Vinobapuri,IGNOU Road,13.0,1,16,6,1,tarde,0
Go Sedan,Civil Lines Gurgaon,Jor Bagh,6.6,1,17,2,7,tarde,0
Go Sedan,Khandsa,Malviya Nagar,12.8,1,11,0,3,manha,0
Go Mini,Satguru Ram Singh Marg,Nirman Vihar,6.2,0,6,3,8,manha,0
Auto,Samaypur Badli,Kashmere Gate ISBT,9.5,0,7,0,9,manha,0
Go Mini,Saket,Okhla,4.6,0,1,0,10,madrugada,0
Auto,Botanical Garden,Patel Chowk,10.1,1,20,0,8,noite,0
Auto,Cyber Hub,Nirman Vihar,2.4,0,20,3,6,noite,0
Premier Sedan,Indraprastha,Maidan Garhi,11.2,1,18,3,10,noite,0
Go Mini,Indraprastha,Huda City Centre,6.1,0,1,4,11,madrugada,0
Premier Sedan,Paharganj,Cyber Hub,5.9,1,18,2,7,noite,0
Premier Sedan,Rohini,Jhilmil,2.2,0,12,5,6,tarde,0
Auto,Noida Sector 62,Greater Noida,8.3,0,19,2,10,noite,1
Go Sedan,Anand Vihar ISBT,Azadpur,8.3,0,22,1,7,noite,1
Go Mini,Khan Market,Ashram,11.3,0,7,2,8,manha,0
Bike,Chirag Delhi,Bahadurgarh,12.3,1,18,2,4,noite,0
Auto,Jasola,Ashok Park Main,11.5,1,8,1,9,manha,0
Go Mini,ITO,DLF Phase 3,7.4,1,4,4,5,madrugada,0
Bike,Rajouri Garden,Ardee City,12.3,0,14,5,7,tarde,0
Auto,Meerut,Paschim Vihar,8.3,0,17,6,3,tarde,1
Go Mini,Jahangirpuri,Pulbangash,8.0,1,9,3,9,manha,0
Auto,DLF Phase 3,Shastri Nagar,2.7,0,18,6,8,noite,0
Auto,Badshahpur,Kherki Daula Toll,4.0,0,1,4,8,madrugada,0
Go Sedan,Nawada,Greater Noida,8.4,0,5,6,4,manha,0
Uber XL,Dwarka Mor,Civil Lines Gurgaon,8.3,0,17,4,4,tarde,1
Premier Sedan,Madipur,IMT Manesar,7.3,1,18,4,11,noite,0
Go Mini,Mehrauli,Sikanderpur,10.8,1,20,3,7,noite,0
Premier Sedan,Sarai Kale Khan,Janakpuri,4.3,1,14,4,8,tarde,0
Auto,Sarai Kale Khan,DLF Phase 3,12.5,1,19,6,5,noite,0
eBike,Kanhaiya Nagar,Patel Chowk,5.4,0,18,4,10,noite,0
Go Mini,Kadarpur,Mansarovar Park,13.5,1,5,0,7,manha,0
Auto,Saidulajab,Arjangarh,13.5,1,14,5,5,tarde,0
Go Sedan,Ghaziabad,Vishwavidyalaya,7.3,0,22,1,10,noite,0
Bike,Golf Course Road,Panchsheel Park,14.3,1,9,3,3,manha,0
Go Mini,Panipat,Jasola,3.4,1,5,3,2,manha,0
Go Mini,Subhash Chowk,Indirapuram,8.3,0,9,0,10,manha,1
Bike,Maidan Garhi,Madipur,9.4,1,10,2,7,manha,0
eBike,Lajpat Nagar,Welcome,9.1,1,10,2,9,manha,0
eBike,Karol Bagh,Model Town,8.3,0,16,4,6,tarde,1
Auto,GTB Nagar,Jhilmil,9.1,1,19,5,8,noite,0
Premier Sedan,Saket,IGI Airport,4.5,1,19,4,5,noite,0
Bike,Ardee City,AIIMS,10.0,1,15,3,3,tarde,0
Auto,Ghitorni,Shastri Nagar,18.8,0,19,0,7,noite,0
Premier Sedan,Kanhaiya Nagar,Akshardham,6.2,0,22,5,2,noite,0
Go Sedan,Gwal Pahari,Meerut,6.5,1,13,2,11,tarde,0
Premier Sedan,Mansarovar Park,IGI Airport,3.6,1,19,5,10,noite,0
Go Mini,Badshahpur,Satguru Ram Singh Marg,12.1,1,13,6,8,tarde,0
Go Mini,Nehru Place,Panchsheel Park,14.0,1,15,2,8,tarde,0
Bike,Pulbangash,Badarpur,14.7,1,17,6,10,tarde,0
Auto,Mehrauli,Madipur,7.3,1,21,5,11,noite,0
Premier Sedan,Sarai Kale Khan,Pragati Maidan,4.6,1,15,2,4,tarde,0
Bike,Jor Bagh,Sushant Lok,6.2,1,17,4,12,tarde,0
Bike,Lajpat Nagar,Rajouri Garden,9.6,1,11,4,2,manha,0
Go Mini,Moti Nagar,Shahdara,8.2,0,18,5,3,noite,0
Auto,AIIMS,Peeragarhi,7.7,0,9,4,3,manha,0
Go Mini,Kalkaji,Indraprastha,8.4,1,17,0,7,tarde,0
Go Mini,Greater Kailash,Sadar Bazar Gurgaon,6.4,0,14,5,2,tarde,0
Premier Sedan,Anand Vihar ISBT,New Delhi Railway Station,6.1,0,15,0,6,tarde,0
Auto,Shastri Park,DLF City Court,5.4,1,20,6,3,noite,0
Auto,Hauz Rani,Hauz Khas,3.9,0,11,4,11,manha,0
Bike,Ardee City,New Delhi Railway Station,13.1,1,15,5,8,tarde,0
Go Sedan,Subhash Nagar,Tagore Garden,3.4,1,14,6,6,tarde,0
Premier Sedan,Model Town,INA Market,12.7,1,21,6,5,noite,0
Auto,Sadar Bazar Gurgaon,Kadarpur,8.3,0,9,0,3,manha,1
Premier Sedan,Kherki Daula Toll,ITO,8.3,0,17,4,4,tarde,1
Go Mini,IFFCO Chowk,Gwal Pahari,4.4,1,6,4,10,manha,0
Go Mini,INA Market,Vatika Chowk,10.0,1,19,6,6,noite,0
eBike,Rithala,Anand Vihar ISBT,4.0,1,15,3,8,tarde,0
Auto,Govindpuri,Mundka,2.2,1,20,4,5,noite,0
Go Sedan,Dilshad Garden,Munirka,8.3,0,12,0,2,tarde,1
Go Mini,Udyog Bhawan,Paharganj,7.5,1,17,5,2,tarde,0
Go Sedan,Moolchand,Kanhaiya Nagar,5.4,1,10,3,4,manha,0
Go Sedan,Rajouri Garden,MG Road,6.6,0,19,1,4,noite,0
Auto,AIIMS,Lok Kalyan Marg,15.0,1,11,2,12,manha,0
Go Sedan,MG Road,Okhla,10.2,1,9,4,12,manha,0
Bike,Sonipat,Ashok Park Main,4.0,0,11,0,5,manha,0
eBike,Badarpur,Ashok Vihar,6.6,0,11,0,11,manha,0
Auto,Tilak Nagar,Model Town,14.6,1,13,5,11,tarde,0
Auto,Ghitorni,Yamuna Bank,8.3,0,7,3,1,manha,1
Bike,Vinobapuri,Karol Bagh,10.6,1,17,4,9,tarde,0
Go Mini,Tughlakabad,Sohna Road,10.3,0,9,6,3,manha,0
Go Sedan,Ambience Mall,Sadar Bazar Gurgaon,16.0,0,21,1,4,noite,0
Go Mini,Shastri Park,Chanakyapuri,12.9,1,7,5,5,manha,0
Premier Sedan,Peeragarhi,Janakpuri,9.6,0,22,2,8,noite,0
Bike,AIIMS,Shahdara,6.8,0,9,2,7,manha,0
Go Sedan,Hauz Rani,Palam Vihar,5.0,1,0,5,11,madrugada,0
Auto,Karol Bagh,Udyog Bhawan,8.3,1,22,1,2,noite,0
Go Mini,Okhla,DLF City Court,6.7,1,10,3,12,manha,0
Auto,IGI Airport,Janakpuri,8.3,1,17,0,3,tarde,0
Auto,Pragati Maidan,Tagore Garden,3.9,1,17,6,11,tarde,0
Go Sedan,Yamuna Bank,Shahdara,10.0,1,5,2,7,manha,0
Bike,Rajiv Nagar,Vasant Kunj,8.6,0,17,4,3,tarde,0
Go Sedan,Punjabi Bagh,Keshav Puram,8.6,0,7,2,1,manha,0
Go Mini,Basai Dhankot,Malviya Nagar,4.9,1,16,6,1,tarde,0
Bike,Huda City Centre,Inderlok,6.8,0,15,4,12,tarde,0
Auto,Golf Course Road,Vatika Chowk,14.3,1,8,1,5,manha,0
Bike,Chirag Delhi,Seelampur,10.9,1,11,2,3,manha,0
Auto,Ghaziabad,Samaypur Badli,10.6,1,0,5,11,madrugada,0
Auto,Manesar,RK Puram,9.3,0,19,0,8,noite,0
Go Sedan,Sarai Kale Khan,Seelampur,10.4,0,23,1,12,madrugada,0
Go Sedan,Patel Chowk,Khan Market,8.8,0,11,0,12,manha,0
Premier Sedan,Nawada,Saket A Block,8.3,0,22,1,10,noite,1
Go Sedan,Tagore Garden,IGI Airport,11.1,1,19,1,11,noite,0
Go Sedan,Tagore Garden,New Delhi Railway Station,11.8,0,23,0,1,madrugada,0
Bike,Hauz Khas,Kalkaji,8.3,0,16,5,6,tarde,1
Go Sedan,Panchsheel Park,Rithala,5.5,1,14,1,9,tarde,0
Auto,Golf Course Road,Maidan Garhi,12.2,1,8,0,2,manha,0
Go Mini,Basai Dhankot,Civil Lines Gurgaon,12.2,1,9,6,1,manha,0
Premier Sedan,Ardee City,Saket,7.4,0,11,1,1,manha,0
Auto,Rohini East,India Gate,7.3,0,4,1,4,madrugada,0
Go Sedan,Chanakyapuri,Sohna Road,4.1,0,11,1,3,manha,0
eBike,Mansarovar Park,Satguru Ram Singh Marg,14.5,1,15,5,5,tarde,0
Bike,Jor Bagh,Welcome,9.9,1,20,5,7,noite,0
Go Mini,Bhikaji Cama Place,IFFCO Chowk,12.1,1,16,5,8,tarde,0
Bike,Samaypur Badli,Greater Noida,10.2,1,11,5,1,manha,0
Go Sedan,Dilshad Garden,Bhiwadi,3.3,1,18,6,4,noite,0
Uber XL,Uttam Nagar,Manesar,2.7,1,7,1,5,manha,0
Bike,Golf Course Road,Ramesh Nagar,12.9,1,10,1,7,manha,0
Go Mini,Shivaji Park,INA Market,7.2,1,9,0,11,manha,0
Auto,Ashram,Jhilmil,12.2,1,18,6,1,noite,0
Auto,Sonipat,Kanhaiya Nagar,14.1,1,14,2,1,tarde,0
eBike,Tilak Nagar,Malviya Nagar,9.9,0,23,6,12,madrugada,0
Auto,Satguru Ram Singh Marg,Hauz Khas,14.0,0,8,2,8,manha,0
Auto,Akshardham,Dwarka Sector 21,8.3,0,23,0,6,madrugada,1
Go Sedan,Ardee City,Nehru Place,10.8,0,11,5,1,manha,0
Go Mini,Noida Extension,Ambience Mall,15.6,0,10,2,9,manha,0
Go Sedan,Ghaziabad,IFFCO Chowk,3.3,1,18,4,11,noite,0
Bike,Akshardham,Sultanpur,8.3,0,19,3,11,noite,1
Go Mini,Panipat,Manesar,6.9,1,9,3,1,manha,0
Bike,Tughlakabad,Inderlok,9.2,0,7,2,12,manha,0
Bike,Vinobapuri,IIT Delhi,8.3,0,17,5,5,tarde,1
eBike,Maidan Garhi,Aya Nagar,11.8,1,8,4,8,manha,0
Premier Sedan,Moti Nagar,Vidhan Sabha,2.8,1,16,0,12,tarde,0
Premier Sedan,Kanhaiya Nagar,Welcome,5.1,1,23,6,7,madrugada,0
Go Sedan,Madipur,Jahangirpuri,14.6,1,15,6,12,tarde,0
Auto,Noida Sector 18,Qutub Minar,6.4,0,17,2,5,tarde,0
Go Mini,Preet Vihar,Anand Vihar,13.1,1,16,3,1,tarde,0
Go Mini,Pataudi Chowk,Nirman Vihar,6.1,1,16,2,7,tarde,0
Auto,Samaypur Badli,Punjabi Bagh,19.1,0,13,3,8,tarde,0
Auto,Nirman Vihar,Faridabad Sector 15,5.3,1,6,4,9,manha,0
Auto,Sikanderpur,Chhatarpur,10.8,1,10,5,8,manha,0
Go Mini,Rajouri Garden,Faridabad Sector 15,3.3,1,17,3,5,tarde,0
Auto,Moolchand,Vishwavidyalaya,10.1,1,13,6,5,tarde,0
Premier Sedan,IGI Airport,Barakhamba Road,8.3,0,18,0,7,noite,1
Bike,Sarojini Nagar,Madipur,16.4,0,20,1,12,noite,0
Auto,Greater Noida,Karol Bagh,12.8,0,20,3,11,noite,0
Premier Sedan,Shivaji Park,Vaishali,8.3,1,17,2,4,tarde,0
Bike,Dilshad Garden,Peeragarhi,2.8,1,23,6,3,madrugada,0
Auto,Keshav Puram,Lajpat Nagar,4.4,1,8,3,5,manha,0
Go Sedan,Keshav Puram,Malviya Nagar,4.8,0,20,4,6,noite,0
Premier Sedan,Ghitorni Village,Chandni Chowk,13.1,1,19,1,1,noite,0
Go Sedan,Mundka,Ambience Mall,9.2,0,19,4,11,noite,0
Bike,Udyog Vihar,Qutub Minar,7.7,1,21,6,5,noite,0
Bike,Cyber Hub,Faridabad Sector 15,5.8,1,11,0,11,manha,0
Auto,Ashok Park Main,Kashmere Gate,14.0,0,19,1,7,noite,0
Bike,DLF Phase 3,Khandsa,6.9,0,13,4,5,tarde,0
Premier Sedan,Jor Bagh,Tis Hazari,8.4,1,14,5,1,tarde,0
Bike,Moolchand,Ambience Mall,3.8,1,9,1,4,manha,0
Go Mini,Bahadurgarh,Jasola,8.3,0,22,4,6,noite,1
Auto,Basai Dhankot,Saket,8.0,1,9,4,3,manha,0
Go Sedan,Kanhaiya Nagar,Sarai Kale Khan,5.6,0,11,1,11,manha,0
eBike,Ramesh Nagar,Karol Bagh,7.7,0,20,3,2,noite,0
